Observer,Date,Time,Sex,Age,Activity,PM,Tail Use,Prop-TW,Tail Angle,Substrate Characterstic,Substrate Size,Crown,Diet,Notes,
,,1:24,M,J2,T,BMP,U,,U,3,S,L3,,fucking chopo,
,,7:57,M,A,T,BMP,TF,,OD,2,M,M2,,,
,,8:16,M,A,T,BP,TF,,H,2,M/S,M2,,,
,,10:08,M,A,T,BP,TF,,H,2,S,M3,,,
,,10:28,M,J2,T,BPU,TF,,H,2,M/L,M2,,,
,,10:58,M,A,T,BPU,TF,,OD,2,S/L,M3,,,
,,6:31,F,A,T,BPU,TF,,H,2,S/M,M3,,,
,,5:51,M,A,T,BPU,TW,10,H,5,S,M3,,,
,,6:18,M,PA,FR,BPU,TF,,OD,1,M,L2,,,
,,7:49,M,A,T,BPU,TF,,H,2,S,L1,,,
,,7:11,M,A,T,BPU,,,H,4,S,M3,,,
,,9:08,F,J2,T,BPU,TF,,H,1,S,UNK,,,
,,1:43,F,A,T,BPU,TW,10,H,5,S,M3,,,
,,8:12,M,J2,T,BPU,TF,,H,2,S/M,M2,,,
,,12:34,F,A,T,BPU,TF,,VD,2,S,L3,,,
,,11:09,F,J2,T,BPU,TF,,H,1,S,M2,,following short leap,
,,12:43,U,J2,T,BPU,TF,,H,,,M3,,,
,,1:36,F,A,T,BPU,TF,,H,1,S,L1,,,
,,3:48,F,J2,T,BPU,TF,,OU,2,S,M2,,,
,,10:19,M,J2,T,BPU,TF,,VD,2,L/S,L,,,
,,11:22,F,A,T,BPU,TT,,H,2,S,M3,,,
,,11:30,F,A,Fr,BPU,TF,,H,1,L,L1,,bromeliad,
,,12:18,M,J1,T,BPU,TF,,H,1,M,M2,,,
,,7:31,F,A,T,BPU,TF,,H,1,S,U3,,,
,,11:42,M,PA,T,BPU,TF,,H,2,L,L3,,,
,,1:47,F,A,T,BPU,TF,,OU,1,M,M2,,,
,,12:56,F,A,T,BPU,TF,,OD,2,M,U1,,,
,,10:30,F,A,T,CPB,TMB,U,OU,4,S,M3,,bridge,
,,7:09,M,A,T,CPB,TW,20,H,2,L,L1,,,
,,7:53,U,U,T,CPB,TF,,H,2,L,M1,,,
,,8:58,M,A,T,CPB,TMB,10,OU,3,S,M3,,,
,,10:45,M,A,T,CPB,TT,,OU,2,S,M3,,,
,,8:32,M,J2,T,CPB,TW,30,H,2,M,L1,,,
,,8:50,F,A,T,CPB,TF,,OD,2,S,M2,,,
,,12:45,M,A,T,CPB,TMB,10,OU,5,S,L1,,,
,,8:05,M,J2,Fr,CPB,TW,25,OU,2,S,T,,,
,,9:03,F,J2,T,CPB,TMB,10,OU,2,S/L,T/U1,,,
,,2:43,M,J2,T,CPB,TF,,VD,4,S,M3,,,
,,7:47,M,A,Fr,CPB,TW,10,VU,3,S,L3,FR,,
,,11:29,M,J2,T,CPB,TF,,H,4,S,U2,,,
,,11:45,M,J2,T,CPB,TW,20,OU,5,S,M3,,,
,,2:08,F,A,T,CPB,TF,,OD,2,M,M1,,,
,,2:44,F,A,T,CPB,TW,10,H,5,S,M3,,,
,,6:09,F,PA,T,CPB,TMB,20,H,3,M,M3,,rocky- pa or j2?,
,,10:16,F,A,T,CPB,TF,,VD,4,S,M3,,,
,,9:49,F,A,T,CPB,TF,,H,1,M,M3,,,
,,8:11,F,A,Fr,CPB,TW,10,H,2,M,L3,FR,,
,,6:48,F,A,FR,CPB,TMB,20,H,5,S,M3,,,
,,7:51,M,A,T,CPB,TF,,H,1,M,L2,,,
,,7:07,F,J1,T,CPB,TMB,10,,5,S,M3,,,
,,11:54,M,J2,T,CPB,TW,10,OU,2,S,M3,,,
,,10:12,M,J2,T,CPB,TF,,OD,2,M,TG,,,
,,12:57,M,A,T,CPB,TF,,H,2,L,T,,guava,
,,6:19,M,PA,T,CPB,TF,,OD,2,S/L,M3,,,
,,6:21,U,J2,T,CPB,TF,,H,C,S,U3,,,
,,6:42,U,J2,T,CPB,TF,,H,2,S,M1,,,
,,10:44,F,PA,T,CPB,TT,,OD,C,S/M,UNK,,,
,,7:56,M,A,T,CPB,TW,20,OU,2,S,U3,,,
,,6:50,F,A,T,CPB,TW,20,OU,1,S,L,,Baby upside down on butt,
,,6:06,F,PA,T,CPB,TW,20,H,C,S,UNK,,,
,,6:50,F,A,T,CPB,TF,,H,2,S,M3,,,
,,6:51,F,A,T,CPB,TF,,H,3,S,L3,,,
,,12:44,M,A,T,CPB,TW,30,VU,2,M,L,,,
,,2:31,F,A,FR,CPB,TW,20,OU,2,S,M3,,,
,,2:43,F,A,T,CPB,TW,10,OD,2,S,M3,,,
,,11:23,M,A,T,CPB,TMB,20,OU,3,S,M3,,,
,,11:45,M,A,T,CPB,TW,10,OD,5,S,M3,,,
,,2:32,F,J2,T,CPB,TW,10,OD,C,S,U3/L3,,,
,,1:05,M,PA,T,CPB,TW,10,H,C,S,,,,
,,11:59,M,A,Fr,CPB,TF,,OD,2,S,L3,I,wasp nest,
,,11:10,F,J2,T,CPB,TF,,OD,2,M,H,,,
,,10:04,M,A,T,CPB,TW,10,OU,3,M/S,M3,,,
,,1:36,F,A,T,CPB,TF,,H,2,M,U2,,,
,,11:39,M,J2,Fr,CPB,TF,,OD,2,S,U3,I,,
,,1:53,F,A,T,CPB,TW,10,VU,5,S,M2,,,
,,2:24,F,J2,T,CPB,TW,10,OD,2,S,M3,,,
,,12:14,F,J2,T,CPB,TF,,H,1,M,L,,,
,,8:30,M,J2,F,CPB,TF,,VD,1,S,M2,FR,,
,,9:05,M,J2,T,CPB,TF,,H,2,S,L1,,,
,,11:04,F,A,T,CPB,TF,,H,3,S,U2,,,
,,7:33,M,PA,T,CPB,TF,,OD,4,S,M3,,,
,,8:53,F,J2,T,CPB,TF,,H,2,S/L,T/L,,,
,,11:43,M,J2,T,CPB,TMB,20,VU,5,S,U3,,monkey approaches double-toothed kite suspiciously,
,,6:06,M,J2,T,CPB,TW,10,H,C,S,M3,,,
,,10:10,M,J2,T,CPB,TF,,H,2,L,T,,,
,,12:41,F,A,AP,CPB,TT,,OD,1,L,T,,,
,,6:08,F,A,T,CPB,TW,20,OD,3,S,U3,,,
,,9:00,M,A,T,CPB,TW,10,OU,C,S,U1,,,
,,9:16,F,A,SB,CPB,TW,40,H,2,M,L1,,,
,,7:04,M,A,T,CPB,TMB,20,VU,4,S,L3,,,
,,7:48,F,J2,T,CPB,TF,,H,4,S,L3,,moving slanted upward,
,,8:56,M,A,T,CPB,TF,,VD,2,M,TG,,,
,,12:02,F,PA,T,CPB,TF,,H,2,S,M3,,,
,,12:53,M,PA,T,CPB,TF,,H,C,S,L3,,,
,,6:21,M,A,T,CPB,TMB,UNK,VU,2,S/L,L/L2,,,
,,11:07,M,PA,T,CPB,TW,10,OD,5,S,U3,,,
,,1:26,F,J1,T,CPB,TW,10,H,5,S,U2,,,
,,2:44,F,J2,T,CPB,TF,,H,2,S/L,T/L,,,
,,2:15,M,A,T,CPB,TW,10,VU,3,S,L3,,,
,,2:16,M,A,T,CPB,TW,10,OU,3,S,L3,,yeah…again,
,,9:58,M,J1,T,CPB,TW,10,H,C,S,M3,,,
,,9:55,M,A,T,CPB,TF,,VD,3,S,M1,,,
,,7:57,M,J1,T,CPB,TW,20,VU,3,S,UNK,,,
,,8:05,M,J1,T,CPB,TF,,OD,2,S,L2,,,
,,9:24,M,A,T,CPB,TMB,20,OU,5,S,L3,,,
,,11:29,M,A,T,CPB,TW,20,H,3,M,L1,,,
,,11:50,F,A,T,CPB,TW,10,OD,4,S/L,U2,,,
,,11:24,M,J2,Fr,CPB,TW,20,H,3,S,M3,FR,,
Allison McNamara,8/25/2013,6:15,M,J2,T,CPB,TF,,H,2,S,L3/L,,,
,,6:07,F,J2,T,CPB,TW,40,H,2,S/L,M3/U2,,,
,,6:55,F,A,T,CPB,TF,,H,2,S,M3,,,
,,12:54,F,A,T,CPB,TF,,H,2,M,M3/P,,,
,,6:55,M,PA,T,CPB,TF,,H,2,S,M3,,,
,,9:11,M,J2,T,DROP,TF,,H,NA,S,UNK,,,
,,9:51,M,PA,T,DROP,TT,,VU,5,S,M2,,,
,,7:12,F,J1,T,DROP,TF,,OU,CL,S,U3-M3,,,
,,11:21,M,A,T,DROP,TF,,H,NA,S,M3,,,
,,9:49,M,J2,T,DROP,TW,10,VU,2,S,M2,,,
,,7:25,F,A,T,DROP,TF,,H,C,S,M3,,,
,,2:56,M,J1,T,DROP,TW,40,VU,1,L,B,,,
,,7:30,M,A,Fr,FHS,TMB,25,OU,C,S/M,M2,FR,,
,,12:52,M,J2,SB,FHS,TW,20,OU,1,S,M2,,,
,,8:38,M,J2,T,FHS,TW,30,OU,2,M,L,,,
,,8:58,F,J2,AP,FHS,TMB,10,OU,3,S,M2,,"hang from one hand, one foot, and tail",
,,9:21,M,J2,FR,FHS,TW,30,OD,2,S/M,P/PT,,,
,,8:17,M,J2,F,FHS,TT,,H,2,S,L3,,"forelimb, hindlimb suspend",
,,10:54,M,A,T,FHSL,TT,,H,2,S,UNK,,sideways swinging motion,
,,3:19,M,J2,T,FPS,TW,20,H,1,L,L1,,,
,,3:18,M,J2,T,FPS,TF,,H,1,M,M1,,,
,,10:44,M,J1,SB,FPS,TF,,H,1,L,L,,,
,,10:20,M,A,FR,FS,TW,10,OD,3,S,U1,,,
,,2:17,F,A,FR,FS,TMB,20,OU,2,S,U3,,,
,,7:03,M,PA,T,FS,TF,,H,C,S,M3,,,
,,7:31,U,J2,SB,FS,TF,,H,1,M,M3,,P- forelimb suspend,
,,2:20,F,J2,T,FTS,TMB,20,OU,2,S,L1,,,
,,5:53,F,J2,Fr,FTS,TMB,20,OU,2,S/L,L3,FR,,
,,8:14,F,J2,T,FTS,TMB,20,OU,2,S,UNK,,,
c,,10:43,M,J2,T,HFS,TF,,H,2,M,TG,,,
,,9:08,M,J2,T,HFSL,TF,,H,2,M,H/TG,,,
,,9:59,F,J1,Fr,HS,TT,,H,2,S,L3,FR,guava,
,,10:03,F,J1,T,HS,TF,,VD,,,,,,
,,10:33,F,PA,T,HS,TF,,H,C,S,M3,,,
,,11:29,M,J2,T,HS,TF,,OU,C,S,U3,,,
,,12:05,M,J2,T,HS,TF,,OD,2,S,M2,,,
,,10:59,M,A,T,HS,TW,20,OU,C,S,M1,,,
,,9:11,M,J2,SB,HS,TF,,H,4,S,L3,,,
,,9:54,F,J2,FR,HS,TMB,20,VU,4,S,M3,,10:08 dogs bark to the west,
,,8:52,M,J2,T,HS,TF,,H,1,S,L,,uneven movement,
,,6:42,F,J1,T,HS,TF,,H,3,S,M3,,,
,,11:10,F,J2,T,HS,TW,10,H,C,S,M2,,,
,,8:07,F,J2,T,HS,TT,,VD,4,S,UNK,,,
,,6:52,F,J2,FR,HT,TMB,40,OU,3,S,U1,,,
,,7:01,F,J2,FR,HT,TW,5,OD,2,"M,S",U2,,,
,,7:05,F,J2,F,HT,TW,U,OU,U,C,M3,FR,,
,,7:11,F,J2,F,HT,TW,U,H,3,C,M3,FR,,
,,7:06,F,A,F,HT,TF,,H,1,"M,S",M3,I,,
,,2:18,M,J2,F,HT,TMB,U,OU,5,S,M3,I,,
,,9:07,F,A,F,HT,TMB,U,OU,5,S,M3,,,
,,10:29,F,A,F,HT,TMB,U,OD,2,M,M2,,,
,,10:32,F,A,FR,HT,TMB,20,OD,2,S,M2,,,
Kristie Kurtz,7/18/2017,6:52,F,A,FR,HT,TMB,U,VU,5,C,L3,,,
,,7:00,F,A,T,HT,TW,30,U,3,S,M3,,,
,,7:40,M,J2,AP,HT,TW,30,OD,2,M,M2,,,
,,8:04,F,J2,F,HT,TMB,20,OU,2,S,M1,,,
,,9:43,F,A,F,HT,TMB,50,OU,5,S,C,,,
,,9:47,F,A,FR,HT,TMB,20,H,5,S,U3,,"MONKEY FIGHT- Juv male thrown out of tree by pregnant monkey, drops 30 feet to ground, lands on shoulder. Falls a second time, does backflip and lands on feet",
,,10:38,F,A,FR,HT,TMB,U,OU,3,S,M2,,,
,,11:20,M,A,FR,HT,TMB,10,OU,3,S,L1,,,
,,11:27,M,A,FR,HT,TMB,30,H,3,S,U2,,,
,,11:30,M,A,FR,HT,TMB,20,OU,3,S,M3,,,
,,12:04,F,J2,AP,HT,TMB,20,OU,3,S,M1,,,
,,7:12,M,J2,FR,HT,TMB,10,H,2,M,M2,,,
,,7:19,M,J2,FR,HT,TMB,80,H,3,S,M3,,,
,,7:32,M,J2,AP,HT,TMB,50,OU,1,L,T,,,
,,9:36,M,A,AP,HT,TMB,20,H,1,M,L,,,
,,1:52,M,A,F,HT,TMB,20,OU,3,S,U1,leaf,piper,
,,1:53,M,A,F,HT,TMB,20,OU,3,S,U1,leaf,piper,
,,8:50,F,A,AP,HT,TW,20,OD,2,S,U2,,,
,,11:11,M,J2,FR,HT,TMB,20,H,2,S,M3,,,
,,11:13,M,J2,FR,HT,TMB,20,H,C,S,M3,,,
,,11:56,M,A,AP,HT,TF,,OU,2,S,M3,,,
,,1:03,M,A,T,HT,TMB,U,H,1,M,M2,,,
,,2:07,F,A,FR,HT,TMB,10,,1,M,M1,,paml fraund trunk?,
,,6:01,M,PA,FR,HT,TMB,20,H,3,S,M3,,,
,,6:07,M,PA,FR,HT,TMB,30,H,C,S,M3,,,
,,8:15,M,J2,FR,HT,TW,20,OU,3,S,L3,,,
,,8:29,M,PA,FR,HT,TMB,30,OU,2,GR,L1,,,
,,8:34,M,J2,Fr,HT,TMB,30,OU,3,S,M3,,,
,,6:42,F,A,FR,HT,TW,20,OU,C,S,M3,,,
,,7:41,M,A,FR,HT,TW,90,OU,2,L/S,L1,,,
Allison McNamara,7/22/2013,5:48,M,A,FR,HT,TMB,20,VU,5,S,M3,,,
,,7:29,F,J1,AP,HT,TMB,20,H,3,S,M2,,,
,,7:45,F,J1,FR,HT,TW,20,,CL,S,L3,,,
Kristie Kurtz,7/22/2013,5:50,M,PA,FR,HT,TW,30,OU,2,S/M,L1,,,
,,5:51,M,PA,FR,HT,TW,30,OU,1,M,L1,,,
,,5:58,M,PA,AP,HT,TW,20,OU,2,M/S,M2,,,
